timestamp,source,log_message,target_label,complexity
2026-05-27 22:48:09,ModernCRM,"nova.osapi_compute.wsgi.server [req-3d053072-10fa-4074-982d-f5db77243705 d4a6f445208846b2832c4981d7bcc116 c57cd38f7eb042fe9c7d4c00217200d4 - - -] 10.11.10.1 ""GET /v2/c57cd38f7eb042fe9c7d4c00217200d4/servers/detail HTTP/1.1"" RCODE  200 len: 544 time: 0.2539352",HTTP Status,bert
3/5/2026 12:09,ModernCRM,Admin privilege escalation alert for user 9301,Security Alert,bert
3/26/2026 9:17,ModernCRM,"nova.osapi_compute.wsgi.server [req-23c1c728-ac03-4c66-b81b-fb41255621fa 6ac16b11fa1842c1a9d47208dd8a4e3b 021e4d7be7174342970cf715d15aef75 - - -] 10.11.10.1 ""GET /v2/021e4d7be7174342970cf715d15aef75/servers/detail HTTP/1.1"" status: 200 len: 400 time: 0.0923444",HTTP Status,bert
2026-05-18 11:46:11,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-da797b14-f93a-4fad-80a2-abcb81d7db13 3a30eb86427d4955b34f614c0c023ed1 f99d0aaee0ae4716bfc81e798725bdfa - - -] 10.11.10.1 ""GET /v2/f99d0aaee0ae4716bfc81e798725bdfa/servers/detail HTTP/1.1"" status: 200 len: 2410 time: 0.3481953",HTTP Status,bert
2026-11-27 02:55:42,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-3f7707be-4d09-45f1-bfff-e425493e5e05 e006b82d55124a7db996648357395b1e 16126fed652546b4940fad2eed9a3910 - - -] 10.11.10.1 ""GET /v2/16126fed652546b4940fad2eed9a3910/servers/detail HTTP/1.1"" RCODE  200 len: 596 time: 0.3605306",HTTP Status,bert
2026-09-13 08:59:48,ThirdPartyAPI,Backup started at 2026-04-12 13:44:40.,System Notification,regex
6/27/2026 1:11,ModernHR,Email server encountered a sending fault,Error,bert
2026-02-01 03:01:01,ThirdPartyAPI,UnAuthorized admin access granted to user 9281,Security Alert,bert
1/4/2026 3:44,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-7ecf8f03-e56b-4fb2-a36b-edc238ae7dd1 c8724fe650794e3cb3518178b8dde2be 6b80d17bbdbb4ad68ae0097ffb1f9297 - - -] 10.11.10.1 ""GET /v2/6b80d17bbdbb4ad68ae0097ffb1f9297/servers/detail HTTP/1.1"" Return code: 200 len: 973 time: 0.21953",HTTP Status,bert
3/19/2026 22:15,ThirdPartyAPI,File data_6242.csv uploaded successfully by user User2205.,System Notification,regex
5/27/2026 18:42,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-c9c6c17f-1d94-47dc-a71e-20d35e90c58d 4be633f4ff6842c9b714c3972bfa076a 681f407bc08c4a10b7b8a77c80f27f0a - - -] 10.11.10.1 ""GET /v2/681f407bc08c4a10b7b8a77c80f27f0a/servers/detail HTTP/1.1"" Return code: 200 len: 1968 time: 0.1886094",HTTP Status,bert
12/25/2026 20:46,ThirdPartyAPI,System updated to version 2.1.4.,System Notification,regex
8/3/2026 9:04,ModernHR,"nova.osapi_compute.wsgi.server [req-5e041e8a-b4e5-47af-906a-d582a1d833c7 e6c02d0e13f3413c84d35b05f00229bd 7981cd44029a4462940d698dbfe8f5dc - - -] 10.11.10.1 ""GET /v2/7981cd44029a4462940d698dbfe8f5dc/servers/detail HTTP/1.1"" RCODE  200 len: 2192 time: 0.1127051",HTTP Status,bert
4/4/2026 11:19,ModernHR,"nova.osapi_compute.wsgi.server [req-6030c26c-e396-4bb3-baa7-0edbe90a5180 ba5b707cb7f64860ad2fa2b60e486ee3 00c680e2510849b69dd3a04b3d01ca24 - - -] 10.11.10.1 ""GET /v2/00c680e2510849b69dd3a04b3d01ca24/servers/detail HTTP/1.1"" RCODE  200 len: 2309 time: 0.3368505",HTTP Status,bert
