timestamp,source_id,destination_id,packet_type,packet_size_bytes,data_rate_mbps,signal_strength_rssi,throughput_kbps,latency_ms,is_anomaly,anomaly_type
2026-06-13 12:00:00.000,Node_002,Node_048,CAM,0,0.0,-79.4,0.0,0.0,1,Blackhole_Drop
2026-06-13 12:00:00.149,Node_006,Node_038,CAM,632,2.32,-81.3,11.73,6.93,0,Normal
2026-06-13 12:00:00.032,Node_036,Node_013,CAM,933,8.5,-63.2,63.44,6.87,0,Normal
2026-06-13 12:00:00.243,Node_001,Node_049,BSM,1025,3.6,-68.1,29.52,8.07,0,Normal
2026-06-13 12:00:00.260,Node_049,Node_022,CAM,304,2.93,-81.1,7.13,5.76,0,Normal
2026-06-13 12:00:00.385,Node_003,Node_047,CAM,670,7.36,-46.1,39.45,5.83,0,Normal
2026-06-13 12:00:00.510,Node_041,Node_040,CAM,1106,10.62,-61.9,93.97,4.05,0,Normal
2026-06-13 12:00:00.147,Node_043,Node_015,CAM,991,4.89,-81.8,38.77,7.96,0,Normal
2026-06-13 12:00:00.280,Node_025,Node_018,BSM,664,8.36,-70.4,44.41,5.9399999999999995,0,Normal
2026-06-13 12:00:00.567,Node_043,Node_018,CAM,918,11.37,-59.1,83.5,5.59,0,Normal
2026-06-13 12:00:00.530,Node_035,Node_047,DENM,450,3.63,-69.8,13.07,5.71,0,Normal
2026-06-13 12:00:00.726,Node_044,Node_021,DENM,1063,9.68,-82.8,82.32,7.36,0,Normal
2026-06-13 12:00:01.080,Node_026,Node_018,DENM,267,4.11,-47.3,8.78,6.65,0,Normal
2026-06-13 12:00:01.170,Node_014,Node_042,CAM,711,5.96,-48.4,33.9,5.84,0,Normal
2026-06-13 12:00:01.078,Node_009,Node_016,CAM,962,7.61,-74.5,58.57,5.74,0,Normal
2026-06-13 12:00:01.680,Node_024,Node_015,UDP_STREAM,1414,52.64,-81.4,595.46,122.6,1,DoS_Flooding
2026-06-13 12:00:01.888,Node_039,Node_005,BSM,594,5.82,-45.2,27.66,5.3,0,Normal
2026-06-13 12:00:00.204,Node_044,Node_047,DENM,317,8.82,-63.5,22.37,6.27,0,Normal
2026-06-13 12:00:01.746,Node_008,Node_019,CAM,645,3.58,-84.9,18.47,6.18,0,Normal
2026-06-13 12:00:01.463,Node_033,Node_049,BSM,382,7.08,-80.7,21.64,7.04,0,Normal
2026-06-13 12:00:02.780,Node_039,Node_013,CAM,356,5.74,-78.5,16.35,12.31,0,Normal
2026-06-13 12:00:03.045,Node_001,Node_039,CAM,531,6.89,-80.5,29.27,8.41,0,Normal
2026-06-13 12:00:01.936,Node_016,Node_004,UDP_STREAM,446,26.04,-102.7,38.46,2.52,1,Sybil_Spoofing
2026-06-13 12:00:00.966,Node_009,Node_043,UDP_STREAM,686,11.47,-78.4,62.95,7.84,0,Normal
2026-06-13 12:00:02.832,Node_014,Node_035,CAM,973,9.3,-77.0,72.39,5.3100000000000005,0,Normal
2026-06-13 12:00:02.625,Node_029,Node_034,CAM,662,3.21,-76.0,17.0,4.79,0,Normal
2026-06-13 12:00:01.768,Node_038,Node_015,TCP_ACK,64,25.47,-109.0,1.06,1.66,1,Sybil_Spoofing
2026-06-13 12:00:03.807,Node_016,Node_018,DENM,885,6.85,-63.4,48.5,5.4399999999999995,0,Normal
2026-06-13 12:00:03.668,Node_016,Node_031,CAM,1026,6.07,-81.2,49.82,7.34,0,Normal
2026-06-13 12:00:02.900,Node_028,Node_027,BSM,678,10.64,-82.8,57.71,7.85,0,Normal
2026-06-13 12:00:01.050,Node_004,Node_026,BSM,945,5.39,-50.5,40.75,6.21,0,Normal
2026-06-13 12:00:01.798,Node_035,Node_029,CAM,343,6.22,-73.9,17.07,5.720000000000001,0,Normal
2026-06-13 12:00:00.928,Node_029,Node_036,TCP_ACK,64,2.98,-58.9,1.53,4.85,0,Normal
2026-06-13 12:00:00.429,Node_006,Node_049,CAM,1069,4.36,-68.7,37.29,8.23,0,Normal
2026-06-13 12:00:03.808,Node_004,Node_011,CAM,588,2.02,-69.4,9.5,8.379999999999999,0,Normal
